Week Number,8h avg CO (ppm),Avg 1h NO2 (ppb),Avg 8h O3 (ppm),Avg PM10 (ug/m3 SC), Avg PM2.5 (ug/m3 LC),Avg 1h SO2 (ppb),"PRCP (inches, weekly sum)","SNOW (inches, weekly sum)","TAVG (°F, weekly mean)","TMAX (°F, weekly mean)","TMIN (°F, weekly mean)","Avg_WND (mph, weekly mean)","Max Wind Speed (mph, weekly mean)",Asthma_weekly_ER_Admissions,# COPD cases (weekly total),# Heart disease ER visits (weekly total),ILI_Weekly_ER_Admissions,Respiratory_Weekly_ER_Admissions,# stroke hospital discharges (weekly total)
309,0.326142857,25.11,0.027,8.232,6.43,1.126,1.216666667,0.583333333,42.55952381,48.61904762,36.21428571,7.125952381,17.50714286,3447,1856.188525,591.0422382,2020,7163,648.514259
310,0.338571429,25.407,0.027,16.2,7.233,0.905,0.478333333,0.566666667,32.07142857,36.61904762,27.23809524,8.687619048,18.24285714,3462,1819.635129,576.5644708,2252,7544,650.1031584
311,0.341285714,23.381,0.028,12.51,7.668,2.287,0.346666667,1.95,32.16666667,39.61904762,27.16190476,8.055809524,18.66666667,3327,1813.697433,575.5644455,2264,7385,651.2737353
312,0.392,27.153,0.027,7.965,9.996,1.66,0.505,4.266666667,26.60714286,33.45238095,19.76190476,6.252857143,15.48333333,3330,1861.175024,589.4859792,2344,7585,652.0090134
313,0.323857143,25.16,0.029,6.121,7.542,2.047,1.51,4.25,32.54761905,40.9,25.16666667,10.3747619,22.8547619,3585,2038.403598,607.7477914,2396,7178,663.7080796
314,0.275857143,20.186,0.029,7.4,6.822,2.197,0.736666667,0.8,31.77380952,35.42857143,27.83333333,6.045238095,14.79047619,3417,2049.235085,599.3847638,2632,7467,678.7053042
315,0.450428571,29.594,0.026,7.686,13.272,2.044,0.046666667,0.05,26.02380952,32.28571429,19.73809524,5.618095238,13.86190476,3315,2021.934092,591.7128928,2492,7009,678.0057878
316,0.301714286,21.911,0.029,7.9,6.835,1.552,0.71,0.8,29.95238095,35.78571429,23.5952381,6.817380952,17.37619048,3297,2051.911224,602.6253266,2696,7425,676.8512045
317,0.268428571,20.797,0.035,6.29,5.58,1.746,0.196666667,1.6,22.17857143,29.47619048,14.66666667,7.59547619,16.18809524,3088,2025.848753,610.7524685,1960,6743,675.2582988
318,0.320571429,26.063,0.037,5.61,5.9,4.174,0.651666667,4.95,15.64285714,23.30952381,7.714285714,9.427142857,18.79761905,1240,1897.620778,598.9594452,836,4878,673.2501719
319,0.377714286,36.676,0.037,13.743,8.483,1.84,0.278333333,3.2,21.20238095,30.23809524,11.42857143,7.030714286,18.8,3549,1858.960207,586.6272444,3136,7738,670.8559467
320,0.341142857,27.945,0.036,15.181,6.941,4.059,0.551666667,1.55,15.83333333,23.76190476,7.547619048,6.204285714,16.26904762,3744,1883.266123,595.2570197,3104,6959,668.1103457
321,0.298571429,28.706,0.043,13.748,7.911,2.32,0.341666667,2.25,25.48809524,33.25714286,19.11904762,7.626,17.25952381,3267,1886.77752,607.6513416,3128,6629,665.053187
322,0.304714286,26.083,0.04,7.575,5.188,1.931,0.345,0.266666667,30.17857143,39.35714286,20.78571429,9.917380952,22.07857143,3980,1793.283898,598.3852364,2868,7556,661.7288072
323,0.317857143,28.856,0.045,24.639,7.848,2.124,0,0.05,27.73809524,37.83333333,17.61904762,8.435714286,18.61666667,3075,1756.329836,585.3340658,2684,7340,658.1854185
324,0.270714286,23.71,0.04,25.646,5.256,2.083,0.051666667,0,35.08333333,44.92857143,24.4047619,10.135,21.60238095,3108,1766.497044,588.8220631,2916,7272,654.4744089
325,0.382857143,32.333,0.043,14.321,6.321,1.716,0.571666667,0,42.36904762,55.30952381,29.23809524,6.950238095,17.07380952,3171,1803.901098,602.3740434,2404,7755,650.6495976
326,0.245714286,22.726,0.041,7.723,4.121,1.436,1.011666667,0,48.3452381,59.14285714,37.33333333,10.53452381,24.05238095,3048,1775.317856,589.2707741,2672,7172,646.7664541
327,0.300571429,31.074,0.046,12.42,5.834,2.848,0.141666667,0.05,42.07142857,53.78571429,30.5,7.818809524,17.97857143,3141,1732.362269,574.5745911,2460,8108,642.8812939
328,0.267,21.91,0.038,8.075,4.097,2.953,0.431666667,0,56.14285714,67.76190476,44.28571429,5.980952381,15.8452381,3135,1722.79715,570.7880791,2960,7368,639.0504618
329,0.266571429,22.739,0.042,6.969,4.847,1.858,1.123333333,0.85,45.3452381,52.64285714,37.85714286,7.418809524,18.04285714,3309,1756.540613,583.9736585,3340,6666,635.3295147
330,0.304571429,25.578,0.047,22.374,7.11,1.788,0.428333333,0.033333333,47.94047619,58.28571429,37.64285714,8.783333333,20.53809524,3531,1740.207902,593.7923567,3124,6981,631.7724156
331,0.245857143,18.288,0.038,12.286,3.635,2.18,1.386666667,0,51.23809524,58.64285714,43.76190476,8.037380952,18.63571429,3057,1694.609989,584.2304465,3020,7588,628.4307518
332,0.232285714,22.172,0.04,8.35,3.207,1.462,0.458333333,0,49.48809524,58.16666667,40.97619048,7.233095238,18.19285714,3276,1670.679174,574.5351499,3172,7860,625.3529858
333,0.311428571,28.822,0.058,21.036,8.05,1.402,0.001666667,0,60.63095238,74.71428571,45.80952381,5.267619048,15.25714286,3450,1696.031244,583.0082716,2792,7582,622.5837532
334,0.23,14.226,0.044,21.1,6.215,1.077,0.045,0,68.11904762,80.23809524,55.78571429,7.600952381,18.52142857,3654,1708.212365,591.7733781,2888,8510,620.1632148
335,0.277714286,21.133,0.04,12.262,4.842,1.549,0.868333333,0,55.63095238,66.19047619,44.88095238,7.185,16.63095238,3361,1584.927769,571.890758,2728,8656,618.1264747
336,0.258714286,21.032,0.049,15.152,8.658,1.663,0.755,0,73.07142857,82.76190476,63.71428571,6.94547619,17.20952381,3447,1554.849853,558.6312626,2744,8300,616.5030708
337,0.209571429,17.985,0.042,13.736,4.809,0.855,0.616666667,0,65.16666667,75.21428571,55.11904762,6.178095238,15.78809524,3301,1563.103193,561.970865,2512,7858,615.3165466
338,0.219,16.878,0.044,20.073,5.958,0.695,0.58,0,66.85714286,77.80952381,55.19047619,7.382142857,18.32857143,3286,1592.149447,575.0716127,3148,8404,614.5841097
339,0.195285714,15.058,0.038,13.577,7.12,1.181,0.533333333,0,75.76190476,85.69047619,66.0952381,8.436428571,18.50952381,4116,1397.550602,561.5332415,2660,7755,614.3163824
340,0.257142857,14.206,0.037,7.4,11.134,1.659,1.188333333,0,68.10714286,76.71428571,59.61904762,6.167142857,17.04285714,3945,1346.199206,548.6188072,2944,7490,614.5172473
341,0.259571429,15.355,0.04,15.413,6.772,0.995,3.096666667,0,69.48809524,77.9047619,61.73809524,5.746666667,15.86428571,3822,1340.184845,544.8657115,3164,7997,615.1837915
342,0.364285714,16.326,0.037,25.655,15.342,0.697,2.073333333,0,71.57142857,79.38095238,63.97619048,5.719285714,16.43809524,3459,1367.092014,557.2050719,3532,8109,616.3063483
343,0.34,17.399,0.043,25.143,14.121,0.822,0.598333333,0,70.04761905,79.92857143,60.28571429,5.225714286,15.28333333,3315,1359.844208,563.0171964,3624,8205,617.8686378
344,0.295714286,19.141,0.041,12.274,7.148,0.893,1.018333333,0,64.86904762,74.35714286,55.28571429,5.298809524,14.59047619,3543,1306.646489,550.7647123,3584,8193,619.8480027
345,0.277142857,16.166,0.049,12.19,9.845,0.572,0.576666667,0,74.92857143,84.57142857,65.52380952,5.395,15.68333333,3300,1285.442098,540.3662756,3980,7504,622.2157373
346,0.262857143,13.25,0.033,12.4,5.042,0.735,0.813333333,0,72.02380952,80.83333333,63.21428571,4.964285714,15.35,3429,1301.196295,547.1783465,3144,8079,624.9375034
347,0.342857143,19.871,0.043,19.8,9.361,1.428,2.171666667,0,75.72619048,84.11904762,67.92857143,4.510714286,13.33095238,3426,1340.706601,562.2349915,3705,7673,627.9738283
348,0.3,15.795,0.031,15.371,5.846,1.026,2.086666667,0,72.14285714,79.92857143,64.04761905,6.21047619,15.6047619,3360,1530.515372,569.353197,3933,8071,631.2806777
349,0.295714286,15.704,0.035,13.686,5.423,0.479,0.953333333,0,65.01190476,73.78571429,56.61904762,5.986428571,16.42857143,3081,1500.17227,555.541731,3828,7146,634.8100936
350,0.278571429,15.308,0.038,14.476,7.054,0.899,0.895,0,65.98809524,75.26190476,56.73809524,6.580952381,18.36190476,3195,1497.448057,555.9253881,3918,7348,638.5108907
351,0.268571429,15.322,0.033,9.845,4.727,0.58,0.29,0,65.33333333,75.83333333,55.23809524,5.438571429,15.28571429,3892,1540.386115,569.9762448,3972,7357,642.3293979
352,0.274142857,18.166,0.031,10.15,4.162,0.697,1.528333333,0,60.35714286,68.9047619,51.35714286,6.481095238,17.15904762,3696,1760.430932,583.4033376,3792,8018,646.210237
353,0.35,18.486,0.029,15.095,6.255,2.746,1.051666667,0,58.53571429,65.47619048,51.80952381,4.897857143,12.51095238,3033,1772.219825,573.8873655,3273,8212,650.0971261
354,0.307142857,18.255,0.032,16.605,6.63,0.94,0.038333333,0,63,72.21428571,54.07142857,4.575238095,12.54047619,3000,1749.384532,567.3780106,3645,7578,653.9336952
355,0.259428571,18.177,0.035,11.086,5.306,1.112,1.171,0,54.4047619,66.18095238,50.37142857,6.273571429,16.58,3075,1779.404244,578.74694,3999,8000,657.6643043
356,0.27,15.41,0.027,10.09,4.616,3.524,2.118333333,0,50.39285714,57.16666667,43.11904762,7.17452381,16.48333333,3339,1769.402812,593.5110516,4998,8778,661.23485
357,0.302857143,19.936,0.028,7.867,4.736,2.02,1.135,0,46.35714286,53.69047619,39.14285714,6.94452381,17.17619048,3672,1667.11309,591.4477227,5553,8956,664.5935504
358,0.538571429,33.898,0.035,11.5,9.494,2.321,0.08,0,43.44047619,54.26190476,32.97619048,3.994285714,13.04285714,3777,1635.450097,579.0274958,5370,9800,667.6916956
359,0.338571429,22.222,0.027,15.681,5.833,1.716,1.32,0.583333333,41.6547619,50.23809524,32.83333333,7.121190476,19.13571429,3723,1652.13269,585.3319238,5073,8751,670.4843547
360,0.31,23.103,0.028,10.948,5.62,1.133,0.286666667,0,38.17857143,46.57142857,29.45238095,8.153809524,19.32857143,3915,1703.041166,600.4605233,4896,8825,672.931027
361,0.327142857,21.729,0.029,11.171,6.628,1.494,0.405,0.483333333,32.70238095,38.11904762,27.26190476,6.353809524,16.04047619,3822,1856.188525,591.0422382,4416,9186,674.9962294
362,0.331428571,25.421,0.029,10.652,8.269,2.834,0.666666667,0.65,34.72619048,41.38095238,27.92857143,9.001190476,22.29047619,4152,1819.635129,576.5644708,4569,9283,676.6500113
363,0.331428571,23.444,0.032,5.048,6.803,2.564,0.403333333,0.016666667,38.3452381,46.4047619,30.4047619,9.756904762,21.31190476,3849,1813.697433,575.5644455,4923,9643,677.8683885
364,0.33,23.289,0.028,9.9,7.729,2.555,0.336666667,0.2,34.60714286,42.85714286,25.5952381,9.88047619,21.06428571,3708,1861.175024,589.4859792,4704,9370,678.6336916
365,0.38,21.447,0.02,16.371,10.359,2.474,0.428333333,0.8,29.58333333,35.26190476,24.38095238,6.12452381,16.0452381,3777,2038.403598,607.7477914,4575,8696,681.5353237
366,0.311428571,25.156,0.028,12.371,7.847,1.769,0.386666667,0.533333333,29.36904762,37.04761905,21.52380952,6.306190476,15.43809524,3978,2049.235085,599.3847638,5616,9509,687.866764
367,0.368571429,27.623,0.031,11.271,9.474,2.426,0.46,4.633333333,20.05952381,28.78571429,10.76190476,9.778095238,22.63333333,3795,2021.934092,591.7128928,5925,7609,687.2247486
368,0.304285714,23.131,0.034,8.679,7.118,3.667,0.79,4.466666667,17.94047619,28,6.976190476,8.745714286,19.2047619,3651,2051.911224,602.6253266,7779,8888,686.1196833
369,0.351428571,30.133,0.035,11.964,10.019,3.015,0.133333333,1.366666667,10.63095238,22.95238095,-2.30952381,6.172857143,15.64761905,3714,2025.848753,610.7524685,5575,8865,684.5675942
370,0.375714286,33.582,0.035,7.65,8.964,3.42,0.263333333,1.766666667,15.77380952,28.61904762,3.261904762,7.818571429,18.00238095,3144,1897.620778,598.9594452,7275,9319,682.5909905
371,0.394285714,31.877,0.037,11.093,8.838,4.043,0.881666667,2.233333333,22.17857143,31.5952381,11.88095238,7.637142857,17.7047619,700,1858.960207,586.6272444,2516,5227,680.2185383
372,0.272857143,24.1,0.038,18.471,6.756,0.999,0.18,0.583333333,25.57142857,35.23809524,15.26190476,9.650714286,20.98095238,3180,1883.266123,595.2570197,8015,8435,677.4846439
373,0.304285714,24.912,0.036,18.686,6.562,3.455,1.218333333,0.983333333,32.58333333,45.69047619,19.42857143,11.80809524,24.73333333,3720,1886.77752,607.6513416,4434,8849,674.4289559
374,0.277142857,25.741,0.041,11.571,6.947,2.09,0.526666667,2.266666667,20.67857143,30.11904762,10.88095238,8.718571429,20.83095238,3099,1793.283898,598.3852364,3684,8296,671.0957896
375,0.379571429,32.293,0.04,15.514,8.614,3.895,0.565,0.9,31.53571429,42.5,20.64285714,8.64952381,22.08571429,3057,1756.329836,585.3340658,3264,8041,667.5334843
376,0.336142857,31.289,0.044,17.9,8.808,2.946,0.356666667,1.516666667,34.69047619,44.26190476,25.88095238,7.435,17.92619048,3456,1766.497044,588.8220631,2396,6605,663.7937027
377,0.243428571,19.384,0.038,12.6,3.798,3.565,0.716666667,0,44.42857143,54.04761905,35.02380952,8.361190476,20.07619048,3916,1803.901098,602.3740434,2568,8759,659.9306811
378,0.231428571,17.612,0.037,13.943,4.629,1.781,0.57,0.466666667,34.14285714,41.5952381,26.57142857,9.986666667,20.80714286,3312,1775.317856,589.2707741,2976,8895,656.0004432
379,0.27,23.154,0.042,15.229,4.363,4.028,0.496666667,0.016666667,43.76190476,53.5952381,34.21428571,8.362142857,19.23333333,3501,1732.362269,574.5745911,2880,7930,652.0599875
380,0.308571429,27.301,0.043,9.748,5.355,2.164,1.646666667,0,47.29761905,56.19047619,38.73809524,7.27952381,18.23809524,3384,1722.79715,570.7880791,3308,7984,648.1664606
381,0.241428571,22.154,0.038,5.467,3.221,3.442,1.355,0.583333333,45.19047619,54.47619048,35.47619048,9.880238095,24.19047619,3771,1756.540613,583.9736585,3624,7813,644.3763287
382,0.285714286,20.173,0.042,18.167,4.513,2.364,0.383333333,0.233333333,49.98809524,59.26190476,40.16666667,9.064761905,19.92619048,3837,1740.207902,593.7923567,3246,8637,640.7445583
383,0.295714286,24.161,0.041,15.633,4.795,3.316,0.451666667,0,49.5,59.92857143,39.21428571,7.413809524,17.36190476,3837,1694.609989,584.2304465,3663,8090,637.3238194
384,0.231428571,19.188,0.046,17.45,4.691,4.354,0.268333333,0,54.51190476,68.21428571,40.76190476,7.334047619,17.58095238,3693,1670.679174,574.5351499,4185,8238,634.1637215
385,0.26,20.911,0.039,11.379,5.14,1.447,1.165,0,63.91666667,74.83333333,52.78571429,6.327142857,17.88571429,3732,1696.031244,583.0082716,5313,8119,631.310094
386,0.232857143,15.173,0.039,9.514,5.562,1.229,0.706666667,0,61.9047619,73.26190476,50.54761905,6.525238095,17.13809524,3354,1708.212365,591.7733781,5271,8167,628.8043219
387,0.271428571,19.963,0.042,13.893,6.425,2.117,1.32,0,67.70238095,76.92857143,57.89285714,7.326309524,17.40833333,3390,1584.927769,571.890758,5058,8856,626.6827451
388,0.252857143,17.758,0.045,12.55,4.325,1.442,0.61,0,64.41666667,74.07142857,54.47619048,6.663333333,16.67619048,3738,1554.849853,558.6312626,5271,9111,624.9761321
389,0.26,18.256,0.043,20.981,6.183,1.229,0.753333333,0,66.08333333,75.83333333,56.38095238,6.257619048,16.36190476,4329,1563.103193,561.970865,5844,8524,623.7092331
390,0.238714286,17.28,0.041,20.53,5.593,1.127,0.41,0,65.39285714,75.04761905,55.30952381,9.432142857,20.2047619,3826,1592.149447,575.0716127,6810,8808,622.9004213
391,0.311428571,22.825,0.05,14.286,7.277,1.048,0.68,0,69.82142857,79.73809524,59.19047619,5.87452381,15.43095238,4434,1397.550602,561.5332415,7314,10420,622.5614266
392,0.244285714,17.465,0.04,23.798,6.985,1.519,0.275,0,71,80.69047619,61,6.193095238,15.55,3560,1346.199206,548.6188072,7281,9293,622.6971652
393,0.228571429,17.484,0.044,11.899,5.849,0.933,0.331666667,0,70.39285714,81.95238095,58.45238095,6.204761905,16.08333333,3376,1340.184845,544.8657115,6591,8745,623.3056687
394,0.26,19.721,0.051,15.429,9.195,1.4,1.501666667,0,73.9047619,84.54761905,63.47619048,5.608095238,15.86190476,3894,1367.092014,557.2050719,5402,9324,624.3781121
395,0.270714286,21.716,0.048,16.105,7.374,1.055,0.523333333,0,76.02380952,85.47619048,66.04761905,7.142380952,18.37380952,3339,1359.844208,563.0171964,6060,8832,625.8989422
396,0.255571429,18.535,0.043,13.888,6.011,0.794,0.568333333,0,72.82142857,82.85714286,62.85714286,6.326904762,17.06666667,3884,1306.646489,550.7647123,5916,9776,627.8461033
397,0.206285714,13.752,0.04,12.786,4.872,1.014,0.5,0,76.45238095,85.21428571,68.47619048,6.071904762,16.51190476,3162,1285.442098,540.3662756,6054,9555,630.1913564
398,0.253857143,20.211,0.041,12.21,5.026,2.017,0.366666667,0,68.4047619,80.54761905,56.38095238,4.59547619,15.37619048,3904,1301.196295,547.1783465,5634,9035,632.9006894
399,0.242857143,18.777,0.044,10.876,7.044,0.89,0.933333333,0,73.02380952,83.19047619,63.35714286,4.606428571,14.84761905,3628,1340.706601,562.2349915,5106,8375,635.93481
400,0.233714286,14.466,0.039,11.8,5.593,0.801,0.905,0,72.10714286,81.9047619,62.42857143,6.273809524,16.35,3956,1530.515372,569.353197,4617,7951,639.2497157
401,0.260285714,17.575,0.032,11.012,4.581,2.445,0.646666667,0,66.17857143,74.30952381,58,5.837142857,13.83571429,3872,1500.17227,555.541731,4848,7836,642.797332
402,0.271571429,21.282,0.034,11.302,4.919,0.733,0.915,0,67.9047619,78,58.33333333,4.159047619,12.9,3980,1497.448057,555.9253881,4503,8519,646.5262093
403,0.284285714,17.714,0.037,10.129,5.892,1.185,0.76,0,62.83333333,71.83333333,54.16666667,5.651666667,15.44285714,3852,1540.386115,569.9762448,4107,7204,650.3822694
404,0.241428571,15.464,0.027,7.567,3.611,0.785,1.393333333,0,56.73809524,64.78571429,48.71428571,7.185238095,17.57619048,3832,1760.430932,583.4033376,4113,7312,654.3095896
405,0.31,19.794,0.031,6.062,4.198,2.414,0.623333333,0,50.08333333,61.28571429,39.16666667,5.937380952,14.98095238,3952,1772.219825,573.8873655,3663,8095,658.2512136
406,0.311428571,25.313,0.037,9.5,6.027,1.167,0.146666667,0,52.1547619,63.64285714,40.85714286,6.115238095,16.48809524,3063,1749.384532,567.3780106,3516,6993,662.1499779
407,0.348571429,22.466,0.03,12.048,5.813,1.038,1.565,0,50.17857143,59.47619048,40.5,6.486666667,18.8047619,3132,1779.404244,578.74694,3507,7190,665.9493405
408,0.375714286,24.146,0.032,8.981,6.086,1.471,0.438333333,0,55.10714286,66.07142857,44.64285714,6.178095238,15.7,4428,1769.402812,593.5110516,5061,8239,669.5942007
409,0.564285714,29.907,0.033,12.543,9.062,1.228,0.086666667,0,48.78571429,60.5952381,37.11904762,4.303095238,13.41190476,5253,1667.11309,591.4477227,5776,9946,673.031699
410,0.321428571,23.084,0.032,10.557,5.307,0.858,0.328333333,0,53.91666667,64.88095238,42.80952381,8.105952381,18.9547619,4590,1635.450097,579.0274958,5711,10089,676.2119827
411,0.258571429,18.596,0.029,5.571,4.973,1.112,1.876666667,0.3,44.25,51.4047619,36.5952381,7.269761905,16.82380952,4713,1652.13269,585.3319238,5498,10405,679.0889296
412,0.38,30.161,0.032,9.1,8.368,1.888,0.92,6.2,31.23809524,38.5952381,23.54761905,8.361428571,20.7047619,4587,1703.041166,600.4605233,6671,9580,681.6208167
413,0.304285714,23.752,0.028,7.086,5.443,1.615,1.031666667,0,40.25,47.45238095,32.78571429,8.206904762,19.40952381,4707,1856.188525,591.0422382,7535,10046,683.770925
414,0.368571429,25.374,0.027,10.257,6.658,2.059,0.668333333,0,39.58333333,45.38095238,33.64285714,9.379285714,20.75952381,4512,1819.635129,576.5644708,6466,8474,685.5080726
415,0.285714286,21.138,0.029,9.886,5.271,3.903,0.2,1.266666667,27.20238095,33.61904762,20.11904762,7.306904762,16.52857143,4893,1813.697433,575.5644455,7364,10080,686.8070664
416,0.378571429,22.247,0.026,7.005,7.291,2.525,1.12,2.633333333,29.85714286,35.21428571,24.28571429,7.061666667,16.42142857,4455,1861.175024,589.4859792,7042,10305,687.6490676
417,0.327142857,25.013,0.03,12.481,10.789,1.376,2.235,8.683333333,24.51190476,32.04761905,17.07142857,11.65333333,22.72380952,4110,2038.403598,607.7477914,6632,9498,689.8687014
418,0.441428571,27.198,0.021,9.857,10.209,2.764,0.986666667,0,41.78571429,47.71428571,35.92857143,5.778571429,14.79285714,3837,2049.235085,599.3847638,8581,7632,700.8453552
419,0.303571429,21.845,0.028,10.724,7.991,2.533,0.171666667,0,31.0952381,36.69047619,24.83333333,6.593095238,16.28095238,4176,2021.934092,591.7128928,8926,8184,700.259606
420,0.347714286,23.672,0.027,9.033,6.318,2.366,0.806666667,0.25,28.33333333,35.5952381,21.30952381,7.371190476,15.98333333,3609,2051.911224,602.6253266,9422,9777,699.2003284
421,0.280857143,19.465,0.029,8.514,6.156,2.885,1.32,2.65,32.16666667,36,28.33333333,7.248333333,17.71904762,3447,2025.848753,610.7524685,7758,11045,697.6828844
422,0.328571429,24.973,0.034,13.019,7.783,2.237,0.388333333,1.45,26.91666667,34.35714286,19.16666667,7.322857143,18.56857143,3848,1897.620778,598.9594452,6373,9289,695.7292809
423,0.41,32.245,0.034,15.517,9.161,3.458,0.048333333,0,22.8452381,35.07142857,10.73809524,9.768333333,22.35952381,3213,1858.960207,586.6272444,6631,8926,693.3678502
424,0.361428571,31.034,0.037,5.643,7.379,2.751,0.6,0.016666667,37.95238095,47.52380952,28.52380952,8.621095238,21.25,3411,1883.266123,595.2570197,6782,8119,690.6328391
425,0.307142857,27.96,0.035,8.226,6.782,3.098,0.495,0.966666667,34.64285714,43.73809524,25.23809524,8.82,20.97619048,3417,1886.77752,607.6513416,7407,7452,687.5639121
426,0.362857143,31.768,0.038,8.885,7.089,5.145,0.553333333,2.233333333,23.42857143,31.97619048,15.02380952,7.829047619,19.6047619,3585,1793.283898,598.3852364,6711,8184,684.2055765
427,0.277142857,20.228,0.04,7.793,4.453,2.512,0.75,1.516666667,32.71428571,38.69047619,26.85714286,8.309285714,18.8047619,3684,1756.329836,585.3340658,6483,9110,680.6065369
428,0.292857143,22.58,0.041,9.133,5.679,2.182,0.909333333,3.466666667,31.38095238,38.04761905,24.88095238,8.223571429,17.42857143,3894,1766.497044,588.8220631,6486,9014,676.8189885
429,0.304285714,27.697,0.042,5.567,7.363,2.807,0.233333333,0.1,37.13095238,45.33333333,29.19047619,9.332380952,21.2852381,4122,1803.901098,602.3740434,7125,7849,672.8978604
430,0.3,26.713,0.045,12.9,5.094,2.77,0.713333333,0.083333333,39.4047619,47.78571429,30.71428571,8.258571429,20.88666667,4098,1775.317856,589.2707741,6855,9595,668.9000189
431,0.272857143,20.811,0.045,15.986,5.595,3.606,1.478333333,0,41.22619048,51.83333333,30.88095238,9.368571429,22.9,3837,1732.362269,574.5745911,6561,9096,664.8834431
432,0.301428571,32.374,0.057,20.1,8.749,2.825,0.028333333,0,47.60714286,59.28571429,35.97619048,8.324761905,19.42142857,3795,1722.79715,570.7880791,6294,8856,660.9063835
433,0.234285714,20.025,0.045,8.571,5.576,3.502,0.445,0,57.5,68.64285714,45.97619048,8.197142857,18.89285714,3813,1756.540613,583.9736585,6150,8726,657.0265176
434,0.225714286,18.091,0.045,5.614,6.34,1.479,1.221666667,0,48.52380952,59.41428571,39.98095238,7.127761905,17.70047619,3972,1740.207902,593.7923567,6630,9109,653.3001134
435,0.25,17.2,0.036,5.786,2.752,4.301,2.398333333,0,48.97619048,56.69047619,41.42857143,7.088571429,17.15,4086,1694.609989,584.2304465,7554,9460,649.7812133
436,0.295714286,25.875,0.049,19.1,6.172,1.744,0.043333333,0,54.41666667,66.02380952,42.71428571,5.928095238,15.45238095,3792,1670.679174,574.5351499,7494,9218,646.5208504
437,0.234285714,19.164,0.047,18.214,5.757,1.06,0.015,0,58.69047619,70.14285714,46.11904762,8.404047619,19.76428571,3912,1696.031244,583.0082716,7002,8926,643.5663082
438,0.27,20.742,0.04,16.886,6.868,1.976,0.57,0,56.60714286,68.97619048,44.0952381,7.022380952,18.20809524,3441,1708.212365,591.7733781,6294,9353,640.9604351
439,0.330857143,23.844,0.055,22.536,10.09,3.276,0,0,62.10714286,77.04761905,47,5.363571429,14.76428571,3852,1584.927769,571.890758,5166,9172,638.741023
440,0.472857143,16.472,0.037,43.675,42.564,0.852,0.15,0,63.36904762,75.21428571,50.69047619,6.796428571,18.6952381,4091,1554.849853,558.6312626,5184,7600,636.940259
441,0.304428571,19.078,0.046,32.143,11.864,1.372,0.948333333,0,62.75,72.54761905,53.19047619,5.112190476,15.05,4128,1563.103193,561.970865,5709,8439,635.5842587
442,0.268571429,13.62,0.037,19,8.425,1.295,0.325,0,66.05952381,75.73809524,56.80952381,6.002380952,15.09761905,4131,1592.149447,575.0716127,6261,7834,634.6926877
443,0.569857143,20.534,0.046,31.786,23.217,0.721,1.2,0,70.97619048,79.19047619,63.14285714,5.273095238,14.97142857,4338,1397.550602,561.5332415,6480,7056,634.2784761
444,0.439571429,18.761,0.049,29.696,16.238,0.554,1.32,0,73.29761905,83.30952381,64.02380952,4.148809524,13.27619048,3816,1346.199206,548.6188072,6135,8406,634.3476308
445,0.268571429,18.636,0.048,21.364,7.963,0.64,1.145,0,74.38095238,83.02380952,65.85714286,4.718809524,14.37857143,3546,1340.184845,544.8657115,6267,8237,634.8991491
446,0.339857143,18.232,0.047,28.677,15.082,0.829,1.858333333,0,73.48809524,83,64.45238095,5.443333333,16.01904762,3611,1367.092014,557.2050719,5244,8182,635.9250325
447,0.338857143,18.409,0.048,13.619,10.554,1.061,0.745,0,72.30952381,82.78571429,61.85714286,5.538285714,16.36761905,3855,1359.844208,563.0171964,5250,8921,637.410403
448,0.283285714,14.488,0.039,16.975,6.39,0.828,1.416666667,0,69.30952381,79.11904762,59.0952381,5.485714286,15.58333333,3228,1306.646489,550.7647123,4593,7850,639.333719
449,0.333285714,16.23,0.04,19.695,9.796,1.288,1.296666667,0,70.4047619,79.4047619,61.5952381,6.274047619,16.00238095,3243,1285.442098,540.3662756,4173,9339,641.6670875
450,0.304857143,15.213,0.038,14.023,5.507,1.074,1.501666667,0,67.14285714,78.9,62.24285714,5.475285714,15.60761905,3222,1301.196295,547.1783465,4080,7970,644.3766687
451,0.333285714,16.902,0.036,12.393,8.342,0.839,0.76,0,60.30714286,77.46666667,59.37619048,6.616428571,16.47666667,3984,1340.706601,562.2349915,3684,7683,647.4231668
452,0.292857143,15.071,0.032,13.314,4.735,0.576,0.946666667,0,68.16666667,76.66666667,60.23809524,5.112619048,14.42142857,3728,1530.515372,569.353197,3729,8356,650.7623997
453,0.369857143,21.288,0.047,16.557,10.854,0.693,0.145,0,70.98809524,81.45238095,60.88095238,5.144761905,14.08571429,3976,1500.17227,555.541731,3600,8502,654.34594
454,0.307142857,16.394,0.03,12.95,4.821,1.525,2.285,0,69.20238095,76.69047619,62.11904762,4.866666667,13.88571429,3063,1497.448057,555.9253881,3855,7926,658.1218172
455,0.301285714,18.519,0.035,11.614,5.603,1.2,0.471666667,0,60.42857143,69.88095238,50.97619048,5.187142857,14.05238095,3992,1540.386115,569.9762448,3777,8175,662.0352715
456,0.271428571,12.043,0.03,12.821,6.899,4.147,0.545,0,58.35714286,69.21428571,48.21428571,5.660380952,14.40238095,3042,1760.430932,583.4033376,3693,8103,666.0295478
